,title,link,img_src,caption
0,রাবি শিক্ষার্থীদের রেলপথে আগুন,https://www.prothomalo.com/photo/bangladesh/a4i4kgol7p,,
1,গাঙচিলের ওড়াউড়ি,https://www.prothomalo.com/photo/bangladesh/3vfhkwys3d,,
2,হতাহতদের খুঁজছেন ফায়ার সার্ভিসের কর্মীরা,https://www.prothomalo.com/photo/bangladesh/mkk6va8zkt,,
3,সিদ্দিকবাজারে ভয়াবহ বিস্ফোরণ,https://www.prothomalo.com/photo/bangladesh/r4j4g6y8pz,,
4,চিকিৎসকদের কর্মবিরতিতে রোগীদের ভোগান্তি,https://www.prothomalo.com/photo/bangladesh/st76eiizkt,,
5,ঐতিহ্যবাহী তেকানী জামাই মেলা,https://www.prothomalo.com/photo/bangladesh/qnbi6fynnw,,
6,সেন্ট মার্টিনের হালচাল,https://www.prothomalo.com/photo/bangladesh/pm84eaf81a,,
7,সাজেকে পর্যটকদের ভিড়,https://www.prothomalo.com/photo/bangladesh/vn0ix3zpl4,,
8,"বইমেলা: মানুষের স্পন্দন
শহীদ মিনারের স্রোত মিলেছে বইমেলায়",https://www.prothomalo.com/photo/bangladesh/pq9bzgd1a8,,
9,রংতুলিতে ভালোবাসি বাংলাদেশ,https://www.prothomalo.com/photo/bangladesh/yaf95q5k7i,,
10,শ্রদ্ধা নিবেদনের জন্য প্রস্তুত কেন্দ্রীয় শহীদ মিনার,https://www.prothomalo.com/photo/bangladesh/sbllni9z3w,,
11,ভবনে আটকে পড়াদের বাঁচানোর চেষ্টা,https://www.prothomalo.com/photo/bangladesh/kcmsx522sp,,
12,চরাঞ্চল রাঙাচ্ছে লাল মরিচ,https://www.prothomalo.com/photo/bangladesh/afpd30siy8,,
13,অযত্ন-অবহেলায় প্রত্নতাত্ত্বিক পাথর,https://www.prothomalo.com/photo/bangladesh/v9hnlr8oly,,
14,বসন্তের রঙে রঙিন চারপাশ,https://www.prothomalo.com/photo/bangladesh/szfu4jenq2,,
15,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-03%2Fbe3db32d-9e4b-4c38-9a77-7365ddc8381a%2F06.jpg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,স্থানীয় লোকজনের সঙ্গে সংঘর্ষে আহত শিক্ষার্থীদের রাজশাহী মেডিকেল কলেজ হাসপাতালে ভর্তি করা হয়
16,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-03%2F5525f4ad-0fb1-4f86-abf9-497eec643bda%2FChittagong_birds_sowrav_17_.JPG?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,ঘোলা পানিতে শিকার খুঁজছে আটটি চিল
17,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-03%2F3a924aaf-b0d9-43f9-90ca-ba4bef0e2613%2F09.jpeg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,ক্রেন দিয়ে ভবনের ওপরের তলাগুলোতে ঢুকে ফায়ার সার্ভিসের সদস্যরা উদ্ধার অভিযান চালান
18,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-03%2F6706a566-2f39-41d5-9613-d2443e10dd9a%2F324ca99e-3aaa-4b9b-b455-aeba3783ef84.jpeg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,বিস্ফোরণের পর আশপাশের সড়কে যান চলাচল বন্ধ হয়ে যায়
19,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-03%2Fe0dd6e85-9117-4aea-8fef-00bcbc4e6299%2FKhulna_Voganti_10.JPG?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,টাইফয়েডে আক্রান্ত মোসলেমাকে পাঁচ দিন আগে খুলনা মেডিকেল কলেজ হাসপাতালে ভর্তি করেন বাবা। চার দিন ধরে কোনো বিশেষজ্ঞ চিকিৎসক দেখাতে পারেননি বলে আজ শনিবার সকালে তাকে নিয়ে বাড়ি ফিরছেন বাবা
